Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Criminal_Cases_Count,Has_Criminal_Cases,Assets_Numeric,Liabilities_Numeric,Education_Clean,Party_Type
863,Ashok Kumar,ERODE,AIADMK,1,Post Graduate,"Rs 6,62,46,87,500  ~ 662 Crore+","Rs 12,00,000  ~ 12 Lacs+",1,1,6624687500.0,1200000.0,Post Graduate,Regional
864,Ashok Kumar,JAMSHEDPUR,Peoples Party of India (Democratic),0,12th Pass,,,0,0,,,12th Pass,Regional
865,Ashok Kumar,KARNAL,IND,0,Graduate,"Rs 7,00,000  ~ 7 Lacs+",Rs 0  ~,0,0,700000.0,0.0,Graduate,Independent
866,Ashok Kumar,NORTH EAST DELHI,BSP,0,Graduate Professional,"Rs 6,92,04,858  ~ 6 Crore+",Rs 0  ~,0,0,69204858.0,0.0,Graduate,National
867,Ashok Kumar,HAJIPUR (SC),Samata Party,0,10th Pass,,,0,0,,,10th Pass,Regional
868,Ashok Kumar,ROHTAK,IND,0,12th Pass,"Rs 1,32,75,471  ~ 1 Crore+","Rs 11,50,000  ~ 11 Lacs+",0,0,13275471.0,1150000.0,12th Pass,Independent
869,Ashok Kumar,ETAH,IND,2,Graduate,"Rs 1,59,29,248  ~ 1 Crore+",Rs 0  ~,2,1,15929248.0,0.0,Graduate,Independent
870,Ashok Kumar Gupta,SATNA,Bhartiya Shakti Chetna Party,0,12th Pass,,,0,0,,,12th Pass,Regional
871,Ashok Kumar Gupta,CHANDNI CHOWK,IND,0,12th Pass,"Rs 8,49,773  ~ 8 Lacs+","Rs 3,50,000  ~ 3 Lacs+",0,0,849773.0,350000.0,12th Pass,Independent
872,Ashok Kumar Jakhu,JALANDHAR (SC),IND,0,Illiterate,"Rs 25,000  ~ 25 Thou+",Rs 0  ~,0,0,25000.0,0.0,Illiterate,Independent
873,Ashok Kumar Kannaujiya,ROBERTSGANJ (SC),CPI,0,Graduate Professional,,,0,0,,,Graduate,National
874,Ashok Kumar M,VIRUDHUNAGAR,Bharatiya Praja Aikyata Party,0,Graduate Professional,"Rs 3,55,000  ~ 3 Lacs+","Rs 2,00,000  ~ 2 Lacs+",0,0,355000.0,200000.0,Graduate,Regional
875,Ashok Kumar Mamba,HYDERABAD,Maa Telangana Party,0,Graduate Professional,"Rs 6,80,000  ~ 6 Lacs+",Rs 0  ~,0,0,680000.0,0.0,Graduate,Regional
876,Ashok Kumar Pandey,UNNAO,BSP,0,Post Graduate,,,0,0,,,Post Graduate,National
877,Ashok Kumar Paswan,GAYA (SC),IND,1,Post Graduate,"Rs 2,34,153  ~ 2 Lacs+",Rs 0  ~,1,1,234153.0,0.0,Post Graduate,Independent
878,Ashok Kumar Rawat,MISRIKH (SC),BJP,0,Post Graduate,"Rs 12,96,70,318  ~ 12 Crore+","Rs 2,48,61,056  ~ 2 Crore+",0,0,129670318.0,24861056.0,Post Graduate,National
