Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Criminal_Cases_Count,Has_Criminal_Cases,Assets_Numeric,Liabilities_Numeric,Education_Clean,Party_Type
4791,Narendra Dagdu Khedekar,BULDHANA,ShivSena (Uddhav Balasaheb Thackeray),1,Graduate Professional,,,1,1,,,Graduate,Regional
4792,Narendra Dnyaneshwar Pawtekar,PUNE,IND,0,Graduate,"Rs 4,20,000  ~ 4 Lacs+",Rs 0  ~,0,0,420000.0,0.0,Graduate,Independent
4793,Narendra Giri,UJIARPUR,IND,0,Graduate,"Rs 1,00,57,111  ~ 1 Crore+",Rs 0  ~,0,0,10057111.0,0.0,Graduate,Independent
4794,Narendra Kumar,KAUSHAMBI (SC),Apna Dal (Kamerawadi),0,Graduate Professional,,,0,0,,,Graduate,Regional
4795,Narendra Kumar. G,KARUR,IND,0,Graduate Professional,"Rs 3,27,500  ~ 3 Lacs+",Rs 0  ~,0,0,327500.0,0.0,Graduate,Independent
4796,Narendra Malika,JAJPUR (SC),IND,0,8th Pass,"Rs 5,23,227  ~ 5 Lacs+","Rs 67,210  ~ 67 Thou+",0,0,523227.0,67210.0,8th Pass,Independent
4797,Narendra Mishra,MUMBAI NORTH - CENTRAL,IND,0,Graduate,,,0,0,,,Graduate,Independent
4798,Narendra Modi,VARANASI,BJP,0,Post Graduate,"Rs 3,02,06,889  ~ 3 Crore+",Rs 0  ~,0,0,30206889.0,0.0,Post Graduate,National
4799,Narendra Pandey,KAISERGANJ,BSP,0,12th Pass,"Rs 4,29,42,782  ~ 4 Crore+","Rs 23,00,000  ~ 23 Lacs+",0,0,42942782.0,2300000.0,12th Pass,National
4800,Narendra Patel,KHANDWA,INC,1,10th Pass,,,1,1,,,10th Pass,National
4801,Narendra Singh,AMROHA,IND,0,8th Pass,"Rs 2,12,406  ~ 2 Lacs+","Rs 51,040  ~ 51 Thou+",0,0,212406.0,51040.0,8th Pass,Independent
4802,Narendraa Vemula,BHONGIR,Jai Swaraj Party,1,12th Pass,"Rs 89,25,000  ~ 89 Lacs+","Rs 7,50,000  ~ 7 Lacs+",1,1,8925000.0,750000.0,12th Pass,Regional
4803,Narendranath,ERODE,IND,0,Others,,,0,0,,,Other,Independent
4804,Narendranath Ray,BISHNUPUR (SC),IND,0,8th Pass,"Rs 26,579  ~ 26 Thou+","Rs 2,17,000  ~ 2 Lacs+",0,0,26579.0,217000.0,8th Pass,Independent
4805,Naresh Bharathi. S,KANCHEEPURAM (SC),IND,0,Graduate Professional,"Rs 15,18,000  ~ 15 Lacs+","Rs 10,60,000  ~ 10 Lacs+",0,0,1518000.0,1060000.0,Graduate,Independent
4806,Naresh Chandra Uttam Patel,FATEHPUR,SP,0,Post Graduate,,,0,0,,,Post Graduate,Regional
4807,Naresh Dhingaan,LUDHIANA,IND,0,10th Pass,"Rs 16,48,048  ~ 16 Lacs+",Rs 0  ~,0,0,1648048.0,0.0,10th Pass,Independent
4808,Naresh Ganpat Mhaske,THANE,Shiv Sena,2,12th Pass,"Rs 26,26,02,215  ~ 26 Crore+","Rs 4,60,63,890  ~ 4 Crore+",2,1,262602215.0,46063890.0,12th Pass,Regional
4809,Naresh Hianla,KALAHANDI,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
4810,Naresh Janagama,PEDDAPALLE (SC),IND,0,Post Graduate,"Rs 17,12,000  ~ 17 Lacs+",Rs 0  ~,0,0,1712000.0,0.0,Post Graduate,Independent
4811,Naresh Kandara,JODHPUR,IND,0,10th Pass,"Rs 3,31,615  ~ 3 Lacs+",Rs 0  ~,0,0,331615.0,0.0,10th Pass,Independent
4812,Naresh Kashyap,SONIPAT,Aam Aadmi Parivartan Party,0,Graduate,,,0,0,,,Graduate,Regional
4813,Naresh Kumar,NORTH WEST DELHI (SC),IND,0,Others,"Rs 7,72,251  ~ 7 Lacs+",Rs 0  ~,0,0,772251.0,0.0,Other,Independent
4814,Naresh Kumar,KURUKSHETRA,Samata Party,0,12th Pass,"Rs 1,91,06,500  ~ 1 Crore+","Rs 10,96,451  ~ 10 Lacs+",0,0,19106500.0,1096451.0,12th Pass,Regional
4815,Naresh Kumar,NORTH WEST DELHI (SC),Rashtriya Samaj Paksha,0,10th Pass,,,0,0,,,10th Pass,Regional
4816,Naresh Kumar,JAHANABAD,IND,0,Graduate Professional,"Rs 32,51,000  ~ 32 Lacs+",Rs 0  ~,0,0,3251000.0,0.0,Graduate,Independent
4817,Naresh Kumar Chib,JAMMU,Jammu & Kashmir National Panthers Party (Bhim),0,Graduate,"Rs 1,96,84,000  ~ 1 Crore+","Rs 6,50,000  ~ 6 Lacs+",0,0,19684000.0,650000.0,Graduate,Regional
4818,Naresh Kumar Priyadarshi,BANKA,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
4819,Naresh Kumar Talla,JAMMU,IND,0,10th Pass,"Rs 40,59,800  ~ 40 Lacs+",Rs 0  ~,0,0,4059800.0,0.0,10th Pass,Independent
4820,Naresh Nautiyal,GAUTAM BUDDHA NAGAR,Bhartiya Rashtriya Jansatta,1,Graduate,"Rs 5,22,05,000  ~ 5 Crore+","Rs 35,00,000  ~ 35 Lacs+",1,1,52205000.0,3500000.0,Graduate,Regional
4821,Naresh Pal,MALDAHA UTTAR,Jan Sangh Party,0,10th Pass,,,0,0,,,10th Pass,Regional
4822,Naresh Ram,VAISHALI,SUCI(C),0,12th Pass,"Rs 39,644  ~ 39 Thou+",Rs 0  ~,0,0,39644.0,0.0,12th Pass,Regional
4823,Naresh Reddy,MAHBUBNAGAR,Telangana Jaghir Party,0,10th Pass,"Rs 10,26,000  ~ 10 Lacs+",Rs 0  ~,0,0,1026000.0,0.0,10th Pass,Regional
4824,Naresh Singh Bhadauriya,KHERI,IND,1,Graduate Professional,,,1,1,,,Graduate,Independent
4825,Naresh Yadav,BANKA,IND,0,8th Pass,"Rs 61,400  ~ 61 Thou+",Rs 0  ~,0,0,61400.0,0.0,8th Pass,Independent
4826,Nareshbhai Naranbhai Rathod,BHAVNAGAR,IND,0,8th Pass,"Rs 80,527  ~ 80 Thou+",Rs 0  ~,0,0,80527.0,0.0,8th Pass,Independent
4827,Narinder Kaur,AMRITSAR,Aam Janta Party (India),0,Post Graduate,,,0,0,,,Post Graduate,Regional
4828,Narmada Praveen,WARANGAL (SC),Pyramid Party of India,0,Post Graduate,"Rs 20,000  ~ 20 Thou+",Rs 0  ~,0,0,20000.0,0.0,Post Graduate,Regional
4829,Narottam Saha,BALURGHAT,IND,0,Graduate,"Rs 10,59,397  ~ 10 Lacs+",Rs 0  ~,0,0,1059397.0,0.0,Graduate,Independent
4830,Narra Sukhender Reddy,MALKAJGIRI,Vidhyarthula Rajakiya Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
4831,Narri. Swamy Kuruma,BHONGIR,IND,1,Post Graduate,"Rs 63,02,500  ~ 63 Lacs+","Rs 8,00,000  ~ 8 Lacs+",1,1,6302500.0,800000.0,Post Graduate,Independent
4832,Narsingh Solanki,KHARGONE (ST),IND,0,12th Pass,"Rs 38,500  ~ 38 Thou+",Rs 0  ~,0,0,38500.0,0.0,12th Pass,Independent
4833,Narsingrao Udgirkar,LATUR (SC),Vanchit Bahujan Aaghadi,1,Post Graduate,,,1,1,,,Post Graduate,Regional
4834,Naseef Ali Mullappalli,MALAPPURAM,IND,0,12th Pass,"Rs 69,58,084  ~ 69 Lacs+",Rs 0  ~,0,0,6958084.0,0.0,12th Pass,Independent
4835,Nasurulla,CHIKKBALLAPUR,IND,0,Literate,"Rs 10,78,500  ~ 10 Lacs+","Rs 1,50,000  ~ 1 Lacs+",0,0,1078500.0,150000.0,Below 5th,Independent
4836,Natabar Maharana,BHUBANESWAR,Bharatiya Bikash Parishad,0,10th Pass,,,0,0,,,10th Pass,Regional
4837,Natarajan M,NAMAKKAL,IND,0,8th Pass,"Rs 1,98,48,632  ~ 1 Crore+","Rs 39,99,140  ~ 39 Lacs+",0,0,19848632.0,3999140.0,8th Pass,Independent
4838,Natchimuthu S,DINDIGUL,BSP,0,Illiterate,"Rs 17,05,000  ~ 17 Lacs+",Rs 0  ~,0,0,1705000.0,0.0,Illiterate,National
4839,Nathabhai Bhurabhai Odedra,PORBANDAR,IND,1,8th Pass,,,1,1,,,8th Pass,Independent
4840,Natrayan. R,KARUR,IND,0,Others,"Rs 3,59,000  ~ 3 Lacs+",Rs 0  ~,0,0,359000.0,0.0,Other,Independent
4841,Nattanmai Gunasekarana A.S,KALLAKURICHI,Anna Makkal Katchi,0,8th Pass,"Rs 56,60,000  ~ 56 Lacs+",Rs 0  ~,0,0,5660000.0,0.0,8th Pass,Regional
4842,Natthu Singh Chaudhary,GHAZIABAD,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
4843,Naushad Azam,DOMARIYAGANJ,Peace Party,0,Literate,"Rs 1,51,10,000  ~ 1 Crore+",Rs 0  ~,0,0,15110000.0,0.0,Below 5th,Regional
4844,Navanath Bira Madane,MADHA,IND,0,Post Graduate,"Rs 51,144  ~ 51 Thou+",Rs 0  ~,0,0,51144.0,0.0,Post Graduate,Independent
4845,Naveen Jindal,KURUKSHETRA,BJP,9,Post Graduate,,,9,1,,,Post Graduate,National
4846,Naveen K,NAMAKKAL,IND,0,Others,"Rs 13,85,000  ~ 13 Lacs+",Rs 0  ~,0,0,1385000.0,0.0,Other,Independent
4847,Naveen Kumar,SOUTH DELHI,Hamara Sahi Vikalp Party,0,Illiterate,"Rs 4,60,327  ~ 4 Lacs+","Rs 3,70,796  ~ 3 Lacs+",0,0,460327.0,370796.0,Illiterate,Regional
4848,Naveen Kumar Commando,SIRSA (SC),IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
4849,Naveen Kumar Sharma,KHADOOR SAHIB,Sanjhi Virasat Party,0,10th Pass,"Rs 8,05,000  ~ 8 Lacs+","Rs 3,85,000  ~ 3 Lacs+",0,0,805000.0,385000.0,10th Pass,Regional
4850,Naveen Nukala,PEDDAPALLE (SC),IND,0,Graduate Professional,"Rs 6,21,000  ~ 6 Lacs+","Rs 97,780  ~ 97 Thou+",0,0,621000.0,97780.0,Graduate,Independent
4851,Navinbhai Bhikhabhai Patel,BHARUCH,IND,0,Others,,,0,0,,,Other,Independent
4852,Navnath Dashrath Upalekar,OSMANABAD,IND,0,10th Pass,"Rs 11,60,000  ~ 11 Lacs+",Rs 0  ~,0,0,1160000.0,0.0,10th Pass,Independent
4853,Navnath Vishwanath Dudhal,OSMANABAD,Vishva Shakti Party,0,Post Graduate,"Rs 1,03,00,000  ~ 1 Crore+","Rs 90,000  ~ 90 Thou+",0,0,10300000.0,90000.0,Post Graduate,Regional
4854,Navneet Ravi Rana,AMRAVATI (SC),BJP,4,10th Pass,,,4,1,,,10th Pass,National
4855,Navneet Singh Gosain,TEHRI GARHWAL,Rashtriya Uttarakhand Party,1,Post Graduate,"Rs 3,34,33,000  ~ 3 Crore+","Rs 16,00,000  ~ 16 Lacs+",1,1,33433000.0,1600000.0,Post Graduate,Regional
4856,Navnit Kumar,ARRAH,IND,0,Post Graduate,"Rs 3,40,000  ~ 3 Lacs+",Rs 0  ~,0,0,340000.0,0.0,Post Graduate,Independent
4857,Navsadalam Ibrahimbhai Malek,GANDHINAGAR,IND,1,Literate,,,1,1,,,Below 5th,Independent
4858,Navshad Munsilal Shaikh,AHMEDNAGAR,IND,0,12th Pass,"Rs 17,78,000  ~ 17 Lacs+","Rs 4,45,000  ~ 4 Lacs+",0,0,1778000.0,445000.0,12th Pass,Independent
4859,Nawal Kishor Prasad,PURVI CHAMPARAN,Viro Ke Vir Indian Party,0,Graduate Professional,"Rs 38,29,356  ~ 38 Lacs+","Rs 1,98,714  ~ 1 Lacs+",0,0,3829356.0,198714.0,Graduate,Regional
4860,Nawaskhan,RAMANATHAPURAM,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
4861,Nawin Kiran Pradhan,SIKKIM,IND,0,Post Graduate,"Rs 82,60,079  ~ 82 Lacs+","Rs 2,64,528  ~ 2 Lacs+",0,0,8260079.0,264528.0,Post Graduate,Independent
4862,Nazir Ahmad Sofi,BARAMULLA,IND,0,10th Pass,"Rs 86,50,000  ~ 86 Lacs+","Rs 4,50,000  ~ 4 Lacs+",0,0,8650000.0,450000.0,10th Pass,Independent
4863,Nazmakhathun Mohammed Zafar Khan,MUMBAI NORTH - CENTRAL,IND,0,Illiterate,,,0,0,,,Illiterate,Independent
4864,Neel Kumar,MUZAFFARNAGAR,Jai Samta Party,1,Post Graduate,"Rs 15,87,500  ~ 15 Lacs+",Rs 0  ~,1,1,1587500.0,0.0,Post Graduate,Regional
4865,Neelakantam Donam,KAKINADA,IND,0,Post Graduate,"Rs 33,09,380  ~ 33 Lacs+","Rs 13,36,436  ~ 13 Lacs+",0,0,3309380.0,1336436.0,Post Graduate,Independent
4866,Neelakantesha. H S,TUMKUR,IND,0,Others,,,0,0,,,Other,Independent
4867,Neelam,AMRITSAR,IND,0,8th Pass,"Rs 80,000  ~ 80 Thou+",Rs 0  ~,0,0,80000.0,0.0,8th Pass,Independent
4868,Neelam Abhay Mishra,REWA,INC,0,Post Graduate,"Rs 34,88,68,704  ~ 34 Crore+","Rs 3,17,32,549  ~ 3 Crore+",0,0,348868704.0,31732549.0,Post Graduate,National
4869,Neelam Madhu,MEDAK,INC,14,8th Pass,,,14,1,,,8th Pass,National
4870,Neelam Singh,MISRIKH (SC),IND,0,Literate,"Rs 30,00,000  ~ 30 Lacs+",Rs 0  ~,0,0,3000000.0,0.0,Below 5th,Independent
4871,Neelam Singh,AMBEDKAR NAGAR,Moolniwasi Samaj Party,0,Post Graduate,"Rs 59,24,800  ~ 59 Lacs+",Rs 0  ~,0,0,5924800.0,0.0,Post Graduate,Regional
4872,Neelam Sonker,LALGANJ (SC),BJP,2,Post Graduate,,,2,1,,,Post Graduate,National
4873,Neelamegam K,CHIDAMBARAM (SC),BSP,0,12th Pass,"Rs 3,27,000  ~ 3 Lacs+","Rs 30,000  ~ 30 Thou+",0,0,327000.0,30000.0,12th Pass,National
4874,Neelesh Soni,DAMOH,IND,0,8th Pass,"Rs 18,38,000  ~ 18 Lacs+",Rs 0  ~,0,0,1838000.0,0.0,8th Pass,Independent
4875,Neeraj Chandsoriya,MORENA,Aazad Samaj Party (Kanshi Ram),3,12th Pass,,,3,1,,,12th Pass,Regional
4876,Neeraj Jatav,FARIDABAD,IND,0,Graduate Professional,"Rs 5,95,000  ~ 5 Lacs+",Rs 0  ~,0,0,595000.0,0.0,Graduate,Independent
4877,Neeraj Kumar,PATNA SAHIB,BSP,0,Graduate,"Rs 23,61,70,405  ~ 23 Crore+",Rs 0  ~,0,0,236170405.0,0.0,Graduate,National
4878,Neeraj Kumar (Chhattar),HISAR,Bharatiya Asha Party,0,Graduate,,,0,0,,,Graduate,Regional
4879,Neeraj Kumar Nanna,PATIALA,IND,0,8th Pass,"Rs 2,04,995  ~ 2 Lacs+","Rs 30,000  ~ 30 Thou+",0,0,204995.0,30000.0,8th Pass,Independent
4880,Neeraj Lodhi,FATEHPUR,Vikas Insaf Party,0,8th Pass,"Rs 5,08,000  ~ 5 Lacs+",Rs 0  ~,0,0,508000.0,0.0,8th Pass,Regional
4881,Neeraj Maurya,AONLA,SP,0,Graduate Professional,,,0,0,,,Graduate,Regional
4882,Neeraj Saini Pujari,RAIPUR,Dhoom Sena,0,Graduate Professional,"Rs 1,83,60,451  ~ 1 Crore+",Rs 0  ~,0,0,18360451.0,0.0,Graduate,Regional
4883,Neeraj Shekhar,BALLIA,BJP,0,Graduate,"Rs 13,03,24,669  ~ 13 Crore+","Rs 60,00,000  ~ 60 Lacs+",0,0,130324669.0,6000000.0,Graduate,National
4884,Neeraj Sunil Kamthan,PUNE,Hindu Samaj Party,1,Graduate,,,1,1,,,Graduate,Regional
4885,Neeraj Tripathi,ALLAHABAD,BJP,0,Graduate Professional,"Rs 44,73,49,499  ~ 44 Crore+","Rs 55,56,836  ~ 55 Lacs+",0,0,447349499.0,5556836.0,Graduate,National
4886,Neeru Ram Kapri,RAJSAMAND,IND,0,Post Graduate,"Rs 68,07,059  ~ 68 Lacs+","Rs 6,07,000  ~ 6 Lacs+",0,0,6807059.0,607000.0,Post Graduate,Independent
4887,Neetish Kumar,MUNGER,IND,0,Graduate,,,0,0,,,Graduate,Independent
4888,Neetu Satyapal Singh Sikarwar,MORENA,INC,0,Doctorate,"Rs 2,65,73,333  ~ 2 Crore+",Rs 0  ~,0,0,26573333.0,0.0,Post Graduate,National
4889,Neetu Shattran Wala,JALANDHAR (SC),IND,1,Illiterate,"Rs 80,000  ~ 80 Thou+",Rs 0  ~,1,1,80000.0,0.0,Illiterate,Independent
4890,Neha Singh Gurjar,JAIPUR RURAL,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
4891,Nemai Biswas,KRISHNANAGAR,IND,0,Literate,"Rs 4,53,657  ~ 4 Lacs+","Rs 45,000  ~ 45 Thou+",0,0,453657.0,45000.0,Below 5th,Independent
4892,Nemchand,TEHRI GARHWAL,BSP,0,8th Pass,"Rs 35,79,963  ~ 35 Lacs+","Rs 5,00,000  ~ 5 Lacs+",0,0,3579963.0,500000.0,8th Pass,National
4893,Nepal Chandra Mahato,PURULIA,INC,3,Post Graduate,,,3,1,,,Post Graduate,National
4894,Netajikaviarasu V,NAMAKKAL,IND,0,Graduate Professional,"Rs 28,000  ~ 28 Thou+",Rs 0  ~,0,0,28000.0,0.0,Graduate,Independent
4895,Nikesh Kumar,PURVI CHAMPARAN,IND,0,Literate,"Rs 26,00,000  ~ 26 Lacs+",Rs 0  ~,0,0,2600000.0,0.0,Below 5th,Independent
4896,Nikhil Bera,ULUBERIA,SUCI(C),0,Graduate,,,0,0,,,Graduate,Regional
4897,Nikhil Dekaraja,NAGAON,IND,0,Graduate,"Rs 13,01,200  ~ 13 Lacs+",Rs 0  ~,0,0,1301200.0,0.0,Graduate,Independent
4898,Nikhil Laxmanrao Garje,NANDED,IND,0,Graduate,"Rs 9,01,000  ~ 9 Lacs+","Rs 3,60,000  ~ 3 Lacs+",0,0,901000.0,360000.0,Graduate,Independent
4899,Nikka Singh,BATHINDA,BSP,0,Literate,,,0,0,,,Below 5th,National
4900,Nikki Jha,UJIARPUR,Jagrook Janta Party,0,Graduate,"Rs 1,85,80,000  ~ 1 Crore+","Rs 11,67,000  ~ 11 Lacs+",0,0,18580000.0,1167000.0,Graduate,Regional
4901,Nilam Rani Pal,BADAUN,Rashtriya Shoshit Samaj Party,0,Literate,"Rs 9,75,900  ~ 9 Lacs+","Rs 85,000  ~ 85 Thou+",0,0,975900.0,85000.0,Below 5th,Regional
4902,Nilanjan Dasgupta,BANKURA,CPI(M),0,Post Graduate,,,0,0,,,Post Graduate,National
4903,Nilesh Bhagwan Sambare,BHIWANDI,IND,6,12th Pass,"Rs 1,16,09,99,095  ~ 116 Crore+","Rs 12,51,34,768  ~ 12 Crore+",6,1,1160999095.0,125134768.0,12th Pass,Independent
4904,Nilesh Dnyandev Lanke,AHMEDNAGAR,Nationalist Congress Party – Sharadchandra Pawar,2,Graduate,"Rs 45,54,561  ~ 45 Lacs+","Rs 37,48,757  ~ 37 Lacs+",2,1,4554561.0,3748757.0,Graduate,Regional
4905,Nilesh Jagannath Vasaikar,VADODARA,IND,0,Graduate,,,0,0,,,Graduate,Independent
4906,Nilesh Kumar Gupta,GODDA,IND,0,12th Pass,"Rs 8,07,672  ~ 8 Lacs+","Rs 6,55,669  ~ 6 Lacs+",0,0,807672.0,655669.0,12th Pass,Independent
4907,Nilima Kumari,MUZAFFARPUR,IND,1,Post Graduate,"Rs 25,39,456  ~ 25 Lacs+",Rs 0  ~,1,1,2539456.0,0.0,Post Graduate,Independent
4908,Nilkanthkumar Mansukhlal Mistri,VADODARA,IND,0,Others,,,0,0,,,Other,Independent
4909,Nimmaka Jayaraju,ARAKU (ST),IND,0,12th Pass,"Rs 1,26,17,000  ~ 1 Crore+","Rs 32,28,000  ~ 32 Lacs+",0,0,12617000.0,3228000.0,12th Pass,Independent
4910,Nimuben Jayantibhai Bambhaniya (Nimuben Bambhaniya),BHAVNAGAR,BJP,0,Graduate Professional,"Rs 2,61,15,193  ~ 2 Crore+","Rs 58,29,447  ~ 58 Lacs+",0,0,26115193.0,5829447.0,Graduate,National
4911,Ningaraj.G,CHAMARAJANAGAR (SC),IND,0,Graduate,,,0,0,,,Graduate,Independent
4912,Ningaraju.S,CHAMARAJANAGAR (SC),Karnataka Jantha Paksha,0,Graduate,"Rs 4,72,400  ~ 4 Lacs+","Rs 4,24,000  ~ 4 Lacs+",0,0,472400.0,424000.0,Graduate,Regional
4913,Nipu Singh,RANCHI,Rashtriya Jansangharsh Swaraj Party,0,Post Graduate,"Rs 1,24,83,319  ~ 1 Crore+","Rs 3,50,000  ~ 3 Lacs+",0,0,12483319.0,350000.0,Post Graduate,Regional
4914,Nirab Khan,BARDHAMAN PURBA (SC),CPI(M),1,Graduate,,,1,1,,,Graduate,National
4915,Niraj Agarwal,KOLKATA DAKSHIN,IND,0,Graduate,"Rs 1,33,99,361  ~ 1 Crore+",Rs 0  ~,0,0,13399361.0,0.0,Graduate,Independent
4916,Niraj Kumar,PATALIPUTRA,IND,0,Graduate,"Rs 1,03,42,500  ~ 1 Crore+",Rs 0  ~,0,0,10342500.0,0.0,Graduate,Independent
4917,Niraj Kumar,FATEHPUR,Akhil Bhartiya Parivar Party,0,Graduate,,,0,0,,,Graduate,Regional
4918,Niranjan Jyoti,FATEHPUR,BJP,0,12th Pass,"Rs 2,26,35,006  ~ 2 Crore+",Rs 0  ~,0,0,22635006.0,0.0,12th Pass,National
4919,Niranjan Kumar Ray,BUXAR,IND,0,8th Pass,"Rs 78,32,000  ~ 78 Lacs+","Rs 2,00,000  ~ 2 Lacs+",0,0,7832000.0,200000.0,8th Pass,Independent
4920,Niranjan Naskar,JAYNAGAR (SC),SUCI(C),0,12th Pass,,,0,0,,,12th Pass,Regional
4921,Niranjan Pati,CUTTACK,IND,0,Post Graduate,"Rs 27,52,509  ~ 27 Lacs+",Rs 0  ~,0,0,2752509.0,0.0,Post Graduate,Independent
4922,Niranjan Singh Rathore,CHURU,IND,0,Graduate Professional,"Rs 2,43,88,587  ~ 2 Crore+",Rs 0  ~,0,0,24388587.0,0.0,Graduate,Independent
4923,Niranjan Udaysinh Sirdesai,UTTARA KANNADA,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
4924,Nirapada Sardar,BASIRHAT,CPI(M),4,12th Pass,"Rs 26,79,474  ~ 26 Lacs+","Rs 10,00,000  ~ 10 Lacs+",4,1,2679474.0,1000000.0,12th Pass,National
4925,Nirdosh Kumar Dixit,HAMIRPUR,BSP,1,Post Graduate,"Rs 1,86,44,896  ~ 1 Crore+","Rs 9,60,000  ~ 9 Lacs+",1,1,18644896.0,960000.0,Post Graduate,National
4926,Nirdosh Kumar Yadav,KORBA,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
4927,Nirmal Chandra Roy,JALPAIGURI (SC),AITC,0,Doctorate,"Rs 2,07,48,401  ~ 2 Crore+","Rs 6,44,664  ~ 6 Lacs+",0,0,20748401.0,644664.0,Post Graduate,Regional
4928,Nirmal Majhi,BARDHAMAN PURBA (SC),SUCI(C),0,12th Pass,"Rs 5,70,413  ~ 5 Lacs+",Rs 0  ~,0,0,570413.0,0.0,12th Pass,Regional
4929,Nirmal Singh,SONIPAT,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
4930,Nirmal Singh Rajeana,FARIDKOT (SC),IND,0,8th Pass,"Rs 10,30,000  ~ 10 Lacs+",Rs 0  ~,0,0,1030000.0,0.0,8th Pass,Independent
4931,Nirmal Soren,DUMKA (ST),IND,0,12th Pass,"Rs 27,17,472  ~ 27 Lacs+",Rs 0  ~,0,0,2717472.0,0.0,12th Pass,Independent
4932,Nirmala G,PUDUCHERRY,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
4933,Nirmala H.L,BANGALORE NORTH,SUCI(C),0,Post Graduate,"Rs 2,37,989  ~ 2 Lacs+",Rs 0  ~,0,0,237989.0,0.0,Post Graduate,Regional
4934,Nirmala Vasave,NANDURBAR (ST),Peoples Party of India (Democratic),0,Post Graduate,"Rs 1,77,846  ~ 1 Lacs+",Rs 0  ~,0,0,177846.0,0.0,Post Graduate,Regional
4935,Nirmod Kumar Singh,AONLA,Bhartiya Shakti Chetna Party,0,10th Pass,,,0,0,,,10th Pass,Regional
4936,Nirode Chandra Adhikary,JALPAIGURI (SC),IND,0,12th Pass,"Rs 29,00,000  ~ 29 Lacs+",Rs 0  ~,0,0,2900000.0,0.0,12th Pass,Independent
4937,Nirupadi K Gomarsi,KOPPAL,Karnataka Rashtra Samithi,0,Graduate,"Rs 30,579  ~ 30 Thou+",Rs 0  ~,0,0,30579.0,0.0,Graduate,Regional
4938,Nisar Ahmad Ahangar,SRINAGAR,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
4939,Nisha Patel,JAUNPUR,Sardar Patel Siddhant Party,0,Graduate,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~,0,0,200000.0,0.0,Graduate,Regional
4940,Nisha Ranjan,NALANDA,Samata Party,0,Post Graduate,"Rs 23,34,913  ~ 23 Lacs+",Rs 0  ~,0,0,2334913.0,0.0,Post Graduate,Regional
4941,Nishant Kumar Sinha,HAZARIBAGH,Peoples Party of India (Democratic),0,Post Graduate,,,0,0,,,Post Graduate,Regional
4942,Nishikant Dubey,GODDA,BJP,8,Doctorate,"Rs 74,69,74,208  ~ 74 Crore+","Rs 8,28,00,000  ~ 8 Crore+",8,1,746974208.0,82800000.0,Post Graduate,National
4943,Nisith Pramanik,COOCH BEHAR (SC),BJP,14,10th Pass,"Rs 1,05,12,699  ~ 1 Crore+",Rs 0  ~,14,1,10512699.0,0.0,10th Pass,National
4944,Nitai Dutta,DHANBAD,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
4945,Nitesh Kumar Patel,PATALIPUTRA,Adarsh Jankalyan Dal,3,Post Graduate,"Rs 16,00,500  ~ 16 Lacs+",Rs 0  ~,3,1,1600500.0,0.0,Post Graduate,Regional
4946,Nitesh Kumar Ratre,MAHASAMUND,Sunder Samaj Party,0,12th Pass,"Rs 15,16,000  ~ 15 Lacs+","Rs 3,00,000  ~ 3 Lacs+",0,0,1516000.0,300000.0,12th Pass,Regional
4947,Nitesh Parbatbhai Lalan (Matang),KACHCHH (SC),INC,0,12th Pass,,,0,0,,,12th Pass,National
4948,Nitesh Shivaji Pawar,OSMANABAD,Hindrashtra Sangh,0,Graduate,"Rs 42,47,531  ~ 42 Lacs+","Rs 2,17,000  ~ 2 Lacs+",0,0,4247531.0,217000.0,Graduate,Regional
4949,Nithiyanantham S,MAYILADUTHURAI,Naadaalum Makkal Katchi,0,10th Pass,"Rs 56,00,000  ~ 56 Lacs+",Rs 0  ~,0,0,5600000.0,0.0,10th Pass,Regional
4950,Nitin Ashok Mhadagut,BELGAUM,IND,0,Others,,,0,0,,,Other,Independent
4951,Nitin Gehlot,KARNAL,Peoples Party of India (Democratic),0,12th Pass,"Rs 63,000  ~ 63 Thou+",Rs 0  ~,0,0,63000.0,0.0,12th Pass,Regional
4952,Nitin Jagannath Mayekar,RAIGAD,IND,0,12th Pass,Nil,Rs 0  ~,0,0,,0.0,12th Pass,Independent
4953,Nitin Jairam Gadkari,NAGPUR,BJP,10,Doctorate,,,10,1,,,Post Graduate,National
4954,Nitin Mohan,BAREILLY,IND,0,Post Graduate,"Rs 1,19,38,766  ~ 1 Crore+",Rs 0  ~,0,0,11938766.0,0.0,Post Graduate,Independent
