Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
5308,Poornesh Kumar Jain,JABALPUR,IND,0,12th Pass,"Rs 30,70,000  ~ 30 Lacs+","Rs 23,00,000  ~ 23 Lacs+"
5309,Poosa Srinivas,BHONGIR,Telangana Rashtra Punahnirmana Samithi,0,Post Graduate,"Rs 34,06,200  ~ 34 Lacs+",Rs 0  ~
5310,Popat Lal,BARMER,IND,0,10th Pass,,
5311,Popatputra Rafik Abubakar,JAMNAGAR,IND,0,5th Pass,"Rs 3,65,000  ~ 3 Lacs+",Rs 0  ~
5312,Porlal Batha Kharte,KHARGONE (ST),INC,3,Graduate,"Rs 1,28,03,186  ~ 1 Crore+","Rs 30,97,666  ~ 30 Lacs+"
5313,Potharaju Narasimharaju,WARANGAL (SC),IND,1,10th Pass,,
5314,Pottal Sundara Muniswaran,TIRUNELVELI,IND,6,12th Pass,"Rs 2,36,92,418  ~ 2 Crore+","Rs 3,95,000  ~ 3 Lacs+"
5315,Pp Jayaprakash,VELLORE,IND,0,Not Given,Nil,Rs 0  ~
5316,Prabeen Chandra Mahato,RANCHI,IND,1,12th Pass,,
5317,Prabhakar Pandurang Bhatkar,AMRAVATI (SC),IND,0,Post Graduate,"Rs 2,25,35,573  ~ 2 Crore+",Rs 0  ~
5318,Prabhakar Ranjan,MUZAFFARPUR,Ekam Sanatan Bharat Dal,0,Graduate Professional,"Rs 1,08,96,000  ~ 1 Crore+","Rs 97,38,012  ~ 97 Lacs+"
5319,Prabhakar Reddy Vemireddy,NELLORE,TDP,6,Graduate,,
5320,Prabhat Kumar,SARAN,IND,0,Post Graduate,"Rs 1,90,60,000  ~ 1 Crore+",Rs 0  ~
5321,Prabhat Kumar Dharua,BARGARH,IND,0,10th Pass,"Rs 4,61,689  ~ 4 Lacs+",Rs 0  ~
5322,Prabhu Jatav,MORENA,IND,0,12th Pass,,
5323,Prabhu Nath Sah,BURDWAN - DURGAPUR,BSP,0,Post Graduate,"Rs 30,46,871  ~ 30 Lacs+","Rs 50,00,000  ~ 50 Lacs+"
5324,Prabhu Ram,BARMER,Aazad Samaj Party (Kanshi Ram),0,Graduate,"Rs 4,38,500  ~ 4 Lacs+","Rs 4,00,000  ~ 4 Lacs+"
5325,Prabhu. G,KARUR,IND,0,Graduate Professional,,
5326,Prabhudayal,ROBERTSGANJ (SC),Rashtriya Samaj Dal (R),0,12th Pass,"Rs 37,50,000  ~ 37 Lacs+",Rs 0  ~
5327,Prabhulal Meena,UDAIPUR (ST),IND,0,8th Pass,"Rs 5,50,000  ~ 5 Lacs+",Rs 0  ~
5328,Prabu C,KALLAKURICHI,IND,0,Post Graduate,,
5329,Pradan Baruah,LAKHIMPUR,BJP,0,Others,"Rs 2,42,05,536  ~ 2 Crore+","Rs 22,69,660  ~ 22 Lacs+"
5330,Pradeep,MEDAK,IND,1,10th Pass,"Rs 10,80,000  ~ 10 Lacs+",Rs 0  ~
5331,Pradeep Dhobale,BHANDARA GONDIYA,IND,0,Post Graduate,,
5332,Pradeep Jain (Aditya),JHANSI,INC,6,Post Graduate,"Rs 3,74,27,692  ~ 3 Crore+","Rs 3,27,536  ~ 3 Lacs+"
5333,Pradeep Kottarakkara,KOLLAM,Bharatheeya Jawan Kisan Party,0,Graduate,"Rs 62,60,500  ~ 62 Lacs+","Rs 4,75,000  ~ 4 Lacs+"
5334,Pradeep Kumar,BULANDSHAHR (SC),IND,0,Graduate,,
5335,Pradeep Kumar,KAIRANA,BJP,5,Post Graduate,"Rs 2,55,64,752  ~ 2 Crore+","Rs 12,18,681  ~ 12 Lacs+"
5336,Pradeep Kumar,HARDOI (SC),Bhartiya Krishak Dal,0,12th Pass,"Rs 11,01,000  ~ 11 Lacs+","Rs 3,00,000  ~ 3 Lacs+"
5337,Pradeep Kumar,SHAHJAHANPUR (SC),IND,0,Graduate,,
5338,Pradeep Kumar,KAUSHAMBI (SC),IND,0,Graduate,"Rs 11,85,000  ~ 11 Lacs+",Rs 0  ~
5339,Pradeep Kumar,NORTH WEST DELHI (SC),IND,0,12th Pass,"Rs 61,48,000  ~ 61 Lacs+",Rs 0  ~
5340,Pradeep Kumar Doddamuddegowda,TUMKUR,Karnataka Rashtra Samithi,0,Graduate,,
5341,Pradeep Kumar Joshi,KARAKAT,Rashtra Sewa Dal,15,12th Pass,"Rs 1,53,40,000  ~ 1 Crore+","Rs 1,35,45,361  ~ 1 Crore+"
5342,Pradeep Kumar Majhi,NABARANGPUR (ST),BJD,17,Graduate,"Rs 2,32,65,510  ~ 2 Crore+","Rs 22,06,219  ~ 22 Lacs+"
5343,Pradeep Kumar Sahoo,BHUBANESWAR,Kalinga Sena,0,Post Graduate,,
5344,Pradeep Kumar Singh,ARARIA,BJP,4,10th Pass,"Rs 1,60,59,806  ~ 1 Crore+","Rs 16,79,230  ~ 16 Lacs+"
5345,Pradeep Penamadu,RAJAMPET,All India Forward Bloc,0,Post Graduate,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~
5346,Pradeep Purohit,BARGARH,BJP,8,10th Pass,,
5347,Pradeep Ramchandra Mane,BARAMATI,IND,0,Graduate,"Rs 40,000  ~ 40 Thou+",Rs 0  ~
5348,Pradeep Tamta,ALMORA (SC),INC,0,Post Graduate,"Rs 1,48,12,909  ~ 1 Crore+","Rs 11,45,107  ~ 11 Lacs+"
5349,Pradeep Yadav,GODDA,INC,5,Graduate,,
5350,Pradhan Mardi,DARJEELING,Ambedkarite Party of India,1,5th Pass,"Rs 2,09,941  ~ 2 Lacs+",Rs 0  ~
5351,Pradip Bhandari,SONITPUR,IND,0,Graduate,"Rs 2,08,38,131  ~ 2 Crore+","Rs 7,32,811  ~ 7 Lacs+"
5352,Pradip Bhattacharya,KOLKATA UTTAR,INC,0,Post Graduate,,
5353,Pradip Kumar Roy,COOCH BEHAR (SC),Kamatapur People’s Party (United),0,Graduate,"Rs 9,36,404  ~ 9 Lacs+",Rs 0  ~
5354,Pradip Pal,HOOGHLY,Bharatiya Nyay-Adhikar Raksha Party,0,12th Pass,"Rs 1,72,000  ~ 1 Lacs+",Rs 0  ~
5355,Pradipkumar Biswas,BANGAON (SC),INC,0,Others,,
5356,Pradyut Bordoloi,NAGAON,INC,0,Post Graduate,"Rs 8,39,15,436  ~ 8 Crore+","Rs 12,99,774  ~ 12 Lacs+"
5357,Pradyut Chowdhuri,SREERAMPUR,SUCI(C),0,Graduate,"Rs 16,355  ~ 16 Thou+",Rs 0  ~
5358,Praful Manikchand Bhange,NAGPUR,IND,0,Graduate,,
5359,Praful Pandit Bhosale,MAVAL,IND,0,Post Graduate,"Rs 1,19,12,060  ~ 1 Crore+","Rs 77,67,758  ~ 77 Lacs+"
5360,Prafulla Kumar Naik,DHENKANAL,BSP,0,Graduate Professional,"Rs 38,10,000  ~ 38 Lacs+","Rs 8,00,000  ~ 8 Lacs+"
5361,Pragyesh Kumar,GHOSI,IND,0,Post Graduate,,
5362,Prahalad Mali,TONK-SAWAI MADHOPUR,BSP,0,Graduate,"Rs 4,17,90,000  ~ 4 Crore+",Rs 0  ~
5363,Prahlad Gunjal,KOTA,INC,0,Graduate Professional,"Rs 13,07,40,451  ~ 13 Crore+","Rs 5,09,80,992  ~ 5 Crore+"
5364,Prajaakeeya Mallappa Chogala (Prem),BELGAUM,Uttama Prajaakeeya Party,0,Post Graduate,,
5365,Prajaakeeya Manohara,DAKSHINA KANNADA,Uttama Prajaakeeya Party,0,10th Pass,"Rs 6,65,920  ~ 6 Lacs+",Rs 0  ~
5366,Prajakeeya Leela Shivakumar,MYSORE,Uttama Prajaakeeya Party,0,10th Pass,"Rs 3,29,95,000  ~ 3 Crore+",Rs 0  ~
5367,Prajakeeya Sachinkumar Karjekannavar,HAVERI,Uttama Prajaakeeya Party,0,Graduate Professional,,
5368,Prajakta Nilesh Yelve,KALYAN,IND,0,Graduate,"Rs 58,19,745  ~ 58 Lacs+","Rs 46,05,854  ~ 46 Lacs+"
5369,Prajjwal Sudip Deb,KARIMGANJ,SUCI(C),0,Graduate Professional,"Rs 13,34,382  ~ 13 Lacs+",Rs 0  ~
5370,Prajwal Revanna,HASSAN,Janata Dal (Secular),0,Graduate Professional,,
5371,Prakash Alias Banty,CHHINDWARA,Rashtra Samarpan Party,0,Graduate,"Rs 1,25,000  ~ 1 Lacs+",Rs 0  ~
5372,Prakash Bhagwanrao Solanke,BEED,IND,0,5th Pass,"Rs 3,55,000  ~ 3 Lacs+",Rs 0  ~
5373,Prakash Chand,UDAIPUR (ST),Bharat Adivasi Party,0,12th Pass,,
5374,Prakash Chandra Sahoo,CUTTACK,Krupaa Party,0,Graduate,"Rs 27,50,000  ~ 27 Lacs+",Rs 0  ~
5375,Prakash Chik Baraik,ALIPURDUARS (ST),AITC,1,Graduate,"Rs 24,54,421  ~ 24 Lacs+",Rs 0  ~
5376,Prakash Devi,NORTH EAST DELHI,SUCI(C),0,Graduate,,
5377,Prakash Dhakar,CHITTORGARH,Ekam Sanatan Bharat Dal,0,Post Graduate,"Rs 29,00,000  ~ 29 Lacs+",Rs 0  ~
5378,Prakash Govindbhai Sindhav,RAJKOT,IND,0,8th Pass,"Rs 17,60,000  ~ 17 Lacs+","Rs 2,99,000  ~ 2 Lacs+"
5379,Prakash Hikaka,KORAPUT (ST),CPI(ML)(L),0,Literate,,
5380,Prakash Joshi,NAINITAL-UDHAM SINGH NAGAR,INC,0,Graduate,"Rs 2,27,17,985  ~ 2 Crore+","Rs 1,49,29,000  ~ 1 Crore+"
5381,Prakash Kumar,BALLIA,IND,0,Graduate Professional,"Rs 8,55,376  ~ 8 Lacs+",Rs 0  ~
5382,Prakash Kumar Gota,BASTAR (ST),IND,0,Graduate Professional,,
5383,Prakash Kumar Sharma,JAIPUR RURAL,IND,0,Others,"Rs 3,11,705  ~ 3 Lacs+","Rs 1,48,000  ~ 1 Lacs+"
5384,Prakash Kumar Uranw,RAIGARH (ST),IND,0,8th Pass,"Rs 32,92,730  ~ 32 Lacs+",Rs 0  ~
5385,Prakash Mani Tiwari,SIWAN,IND,0,Graduate Professional,,
5386,Prakash Masaram Ranvir,HINGOLI,Republican Party of India (A),0,8th Pass,"Rs 62,70,000  ~ 62 Lacs+","Rs 10,00,000  ~ 10 Lacs+"
5387,Prakash P,THENI,IND,1,Graduate Professional,"Rs 9,88,000  ~ 9 Lacs+","Rs 8,58,667  ~ 8 Lacs+"
5388,Prakash P,POLLACHI,IND,0,Graduate,,
5389,Prakash P L,ATTINGAL,IND,0,5th Pass,"Rs 8,93,300  ~ 8 Lacs+",Rs 0  ~
